gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,-1.23672422,1,0,1,0,0,0,0,0,0,0,1,2,0.164129293,639,No
1,0,0,0,0.84001433,1,2,0,0,2,2,2,0,2,2,1,0,0.303720241,3383,No
0,0,1,1,-0.870240946,1,0,2,1,1,1,1,1,1,1,0,3,-1.467755361,1966,No
1,0,1,0,1.491540149,1,0,2,1,1,1,1,1,1,2,0,3,-1.491020519,659,No
0,0,0,0,-1.155283493,1,0,1,0,0,0,0,0,0,0,1,0,0.204012421,2373,Yes
1,0,1,0,1.61370124,1,2,0,2,2,2,2,2,2,2,1,0,0.807244732,5071,No
1,1,1,0,1.043616148,0,1,0,0,2,2,0,0,2,0,1,2,-0.646827643,2300,Yes
0,0,1,1,-0.666639128,1,0,2,1,1,1,1,1,1,0,0,2,-1.474402549,2790,No
1,0,1,0,0.432810693,1,0,1,2,0,2,2,0,0,1,1,0,0.64771222,3064,No
0,0,1,0,-1.23672422,1,2,1,0,0,2,2,2,2,0,1,2,1.317416411,2066,Yes
1,0,1,0,-0.748079855,1,0,0,0,2,2,2,2,2,2,0,3,0.571269558,339,No
0,0,1,0,0.84001433,1,0,1,0,0,2,0,2,2,1,1,0,1.000013184,4239,Yes
0,0,0,0,-0.015113308,1,0,2,1,1,1,1,1,1,1,0,0,-1.469417158,5230,No
0,0,1,0,0.066327419,1,2,2,1,1,1,1,1,1,0,0,2,-1.331488007,5917,No
0,1,0,0,-0.707359492,1,2,1,0,0,0,0,0,0,0,1,3,0.322000008,277,Yes
0,1,0,0,-1.033122401,1,0,1,2,0,0,0,0,0,0,0,0,0.388471888,4260,Yes
0,0,1,1,-0.707359492,1,2,1,0,2,2,0,2,2,0,1,0,1.348990554,1001,No
1,0,1,0,1.16577724,1,0,2,1,1,1,1,1,1,1,1,1,-1.469417158,459,No
0,0,0,0,-1.277444584,0,1,0,0,2,0,0,0,0,0,0,0,-1.156999322,2507,Yes
0,0,0,0,-1.277444584,1,0,0,0,0,0,0,0,0,0,0,3,-0.646827643,3816,No
1,0,0,0,-0.992402038,1,2,1,0,0,0,0,0,2,0,0,0,0.656021205,5278,Yes
1,0,1,1,0.025607055,1,0,0,2,0,2,0,2,2,1,0,1,0.33197079,2104,No
0,0,0,0,-0.788800219,1,0,1,0,2,2,0,0,0,0,1,2,0.48153252,216,Yes
0,0,1,0,-1.277444584,0,1,0,0,0,0,0,0,0,0,1,2,-1.328164413,2044,Yes
1,0,0,0,-0.503757673,1,0,0,0,2,0,0,0,0,0,1,3,-0.430794033,48,No
1,0,0,0,-1.196003856,0,1,0,0,0,0,2,0,0,0,0,2,-1.142043149,6099,No
0,0,0,0,-0.788800219,1,0,2,1,1,1,1,1,1,1,0,2,-1.499329504,2090,No
0,0,1,0,0.310649601,1,2,0,0,2,0,0,0,0,0,0,1,-0.271261521,2015,No
1,0,1,1,0.432810693,1,2,0,2,0,0,2,0,2,1,1,1,0.237248361,2757,No
1,0,1,0,-1.073842765,1,0,1,0,2,2,0,0,2,0,1,2,0.872054815,4440,Yes
0,0,1,1,1.491540149,1,0,2,1,1,1,1,1,1,2,0,0,-1.49600591,678,No
0,0,1,1,1.61370124,1,2,1,2,2,2,0,2,2,2,0,1,1.493566893,6076,No
1,0,1,1,1.084336512,1,0,2,1,1,1,1,1,1,2,0,1,-1.510962083,359,No
0,0,1,0,-0.503757673,1,0,1,2,2,0,2,2,0,0,1,2,1.056514282,1502,No
1,0,1,1,-0.340876218,1,2,2,1,1,1,1,1,1,2,1,0,-1.351429571,4822,No
1,0,0,0,1.084336512,1,2,1,0,2,2,2,2,2,0,1,2,1.548406194,5218,No
1,0,1,1,1.61370124,1,2,1,0,2,2,2,2,2,2,1,0,1.57831854,6038,No
1,0,0,1,-1.277444584,1,0,2,1,1,1,1,1,1,0,0,3,-1.46276997,1621,No
0,0,1,0,-0.218715127,1,0,1,2,0,0,2,2,2,1,1,1,1.234326561,2333,No
0,0,0,0,-0.748079855,1,0,1,0,2,0,2,0,0,0,1,1,0.508121272,218,No
1,0,1,1,1.572980877,1,2,1,2,0,2,0,2,2,2,0,2,1.355637742,5730,No
1,0,0,1,-0.788800219,1,0,1,0,0,0,0,2,0,0,1,1,0.449958377,72,No
1,0,0,0,0.473531056,1,0,1,0,0,0,0,0,0,0,0,1,0.135878744,2552,No
0,0,0,0,0.025607055,1,0,1,0,2,0,2,0,0,1,1,0,0.504797678,2336,No
1,0,1,1,1.61370124,0,1,0,2,2,2,2,0,2,2,1,1,-0.309482852,3571,No
1,0,0,0,-1.277444584,1,0,1,0,0,0,0,0,2,0,0,2,0.503135881,5974,Yes
0,0,0,0,-0.544478037,1,0,1,2,0,2,2,2,2,0,1,2,1.390535479,1536,Yes
1,0,1,0,1.287938331,1,0,1,0,2,2,2,2,2,1,1,1,1.252606328,5291,No
1,0,0,0,-1.23672422,1,0,0,0,0,0,0,0,0,0,1,1,-0.623562485,6174,Yes
0,0,0,0,-1.277444584,0,1,0,0,0,0,0,0,0,0,0,2,-1.31320824,2152,No
1,0,0,1,1.16577724,1,0,2,1,1,1,1,1,1,2,0,3,-1.49600591,237,No
0,0,1,1,-0.1372744,1,0,2,1,1,1,1,1,1,1,0,2,-1.487696925,4493,No
1,1,1,0,-0.381596582,1,2,1,0,0,0,0,0,2,0,0,2,0.732463867,1580,No
0,0,1,0,1.002895785,0,1,0,2,2,2,0,2,2,0,1,0,-0.19980425,2976,No
1,0,1,1,1.61370124,0,1,0,2,2,2,2,0,0,2,0,1,-0.64848944,2727,No
1,0,1,0,1.369379058,0,1,0,2,2,2,2,2,0,2,1,0,-0.271261521,3250,No
1,0,1,1,1.328658694,1,2,0,0,2,2,2,2,2,2,1,0,0.646050423,4450,No
0,0,0,0,-0.992402038,1,0,1,0,0,0,0,2,0,0,1,0,0.506459475,5063,No
0,0,0,0,-1.155283493,1,0,1,0,0,0,0,0,0,0,1,2,0.179085466,2329,Yes
0,0,1,0,1.572980877,1,2,2,1,1,1,1,1,1,2,0,0,-1.32982621,1390,No
1,0,1,1,-1.277444584,1,0,2,1,1,1,1,1,1,1,1,2,-1.481049737,1610,No
1,0,1,0,-1.155283493,1,0,0,0,0,0,2,0,0,0,0,3,-0.488956928,1326,Yes
0,0,0,0,-0.829520583,1,0,2,1,1,1,1,1,1,1,1,0,-1.509300286,1807,No
1,0,0,0,-0.340876218,0,1,0,2,0,0,0,2,2,1,1,3,-0.470677161,525,No
0,0,1,1,-0.055833672,1,0,0,2,0,2,2,2,2,1,1,3,0.544680806,2198,No
0,0,1,0,-1.277444584,1,0,0,0,0,0,0,2,0,0,0,3,-0.317791837,4560,Yes
1,0,0,0,-0.096554036,1,2,1,0,0,0,2,0,2,0,1,1,0.835495281,2365,No
0,0,1,1,0.595692147,1,2,0,2,2,0,2,2,2,2,1,1,0.682609957,3495,No
1,0,0,0,0.880734693,1,2,1,2,2,0,2,2,2,2,1,1,1.437065795,4756,No
1,0,0,0,0.717853239,1,0,1,2,2,0,2,0,2,0,1,1,0.955144665,4015,No
1,0,0,0,-1.277444584,1,0,1,2,0,0,0,0,2,0,1,3,0.659344799,6175,Yes
0,0,0,0,1.61370124,1,0,2,1,1,1,1,1,1,2,0,1,-1.47938794,1016,No
0,0,0,0,-0.1372744,1,2,2,1,1,1,1,1,1,0,0,2,-1.316531834,5529,No
1,0,0,0,-1.23672422,1,2,0,0,2,0,0,0,0,0,1,3,-0.344380589,269,Yes
0,0,0,0,-0.91096131,0,1,0,0,0,0,2,0,0,2,1,3,-1.168631901,2583,No
1,0,1,0,-0.5851984,1,2,1,0,0,0,0,0,0,0,1,2,0.278793286,561,No
0,1,0,0,-0.870240946,1,0,1,0,2,0,0,2,2,0,1,2,1.004998575,231,Yes
1,0,0,0,-0.666639128,1,0,2,1,1,1,1,1,1,2,0,3,-1.49600591,2456,No
0,0,0,0,1.61370124,1,2,0,0,2,2,2,2,2,2,0,0,0.725816679,5128,No
1,0,0,0,1.61370124,1,2,1,0,2,2,2,2,2,2,0,0,1.476948923,5946,No
0,0,1,1,0.351369965,1,0,0,2,0,0,2,2,2,1,1,1,0.330308993,2771,No
0,1,1,0,1.328658694,1,0,1,2,2,2,0,0,2,0,0,2,0.985057011,4999,No
0,1,0,0,-0.788800219,1,0,0,0,2,2,0,0,0,0,1,2,-0.331086213,5674,No
1,1,0,0,-1.155283493,1,0,1,2,0,0,0,0,0,0,0,2,0.351912354,2376,No
1,0,0,0,0.351369965,1,2,0,0,0,2,0,0,2,1,0,3,0.007920375,2187,No
1,1,0,0,-0.707359492,1,0,1,0,2,0,0,0,0,0,1,2,0.320338211,146,Yes
1,0,0,0,-1.277444584,1,0,0,2,0,0,0,0,0,0,1,3,-0.538810838,4051,Yes
1,0,0,0,0.392090329,1,2,1,2,2,2,0,0,2,1,1,2,1.137942335,3653,No
0,0,1,0,0.758573602,1,0,1,2,2,2,0,2,0,1,1,2,0.955144665,3921,No
0,0,1,1,-1.23672422,1,0,1,0,0,0,0,0,0,0,0,2,0.187394451,864,Yes
1,1,1,0,-1.277444584,0,1,0,0,2,0,0,2,0,0,0,2,-0.816330937,3414,Yes
1,0,0,1,-0.015113308,1,2,0,0,2,2,2,2,2,1,0,1,0.629432453,2280,No
1,0,0,0,-0.91096131,1,0,2,1,1,1,1,1,1,0,1,3,-1.492682316,1529,No
0,0,1,1,1.410099422,0,1,0,0,2,2,2,2,2,2,1,2,-0.173215498,3494,No
0,0,1,1,1.16577724,1,2,1,2,2,2,2,2,2,2,0,1,1.673040969,5524,No
1,0,0,0,0.717853239,1,2,1,2,2,2,2,2,2,1,0,1,1.648114014,4775,No
0,0,1,0,-1.23672422,1,0,0,0,0,0,0,0,0,0,1,1,-0.670092801,6021,Yes
0,1,1,0,-0.1372744,0,1,0,2,0,2,0,0,2,0,1,2,-0.656798425,416,No
1,1,0,0,-1.196003856,0,1,0,0,0,2,0,0,2,0,1,2,-0.784756794,583,Yes
1,1,0,0,-0.788800219,1,2,1,0,2,2,0,2,2,0,1,2,1.400506261,660,Yes
1,1,1,0,1.002895785,1,2,1,0,2,0,0,0,2,0,1,2,0.833833484,4178,No
0,0,0,0,-0.055833672,0,1,0,2,2,0,2,0,2,2,1,0,-0.495604116,942,No
0,0,1,0,0.51425142,1,2,1,2,2,2,2,2,2,1,0,3,1.613216277,4263,No
0,0,1,1,1.16577724,1,2,0,2,2,2,2,2,2,2,0,3,0.775670589,4589,No
1,0,0,0,0.717853239,1,2,2,1,1,1,1,1,1,2,0,0,-1.324840819,363,No
0,1,0,0,-0.544478037,1,0,1,2,2,0,2,2,2,0,1,3,1.337357975,1633,No
1,0,0,0,1.084336512,1,0,2,1,1,1,1,1,1,2,0,3,-1.509300286,196,Yes
0,0,1,0,1.572980877,1,2,2,1,1,1,1,1,1,2,1,1,-1.34644418,1241,No
0,1,0,0,-0.666639128,1,0,1,0,0,0,2,2,2,0,1,2,0.986718808,930,Yes
1,0,1,0,1.002895785,1,0,0,2,2,0,2,0,0,2,1,2,-0.16656831,2987,No
1,0,0,0,-1.277444584,0,1,0,0,0,0,0,0,0,0,0,0,-1.328164413,2044,Yes
